Family	Genus	Scientific name	Adult survival	Age at first breeding	Maximum longevity	Z	GenFLS	GenFL	GenFS	GenLength	Priority for research
Thraupidae	Heterospingus	Heterospingus rubrifrons	0,693475494	1,215402588	9,706612888	0,142143345	3,213769573	2,422371623	3,477784487	3,213769573	Low
Thraupidae	Heterospingus	Heterospingus xanthopygius	0,70362881	1,253871316	8,9495513	0,142143345	3,23074037	2,347761011	3,628018445	3,23074037	Low
Thraupidae	Hemithraupis	Hemithraupis flavicollis	0,637576721	1,012535475	7,254465339	0,142143345	2,458530445	1,899784265	2,771740134	2,458530445	Low
Thraupidae	Hemithraupis	Hemithraupis guira	0,596892702	1,000016399	7,247708141	0,142143345	2,286542195	1,888084202	2,480745488	2,286542195	Low
Thraupidae	Hemithraupis	Hemithraupis ruficapilla	0,604402359	0,983382742	7,347849918	0,142143345	2,298698665	1,888049396	2,51120368	2,298698665	Low
Thraupidae	Tersina	Tersina viridis	0,584944735	1,264283855	9,944426292	0,142143345	2,626483235	2,498108336	2,673601564	2,626483235	Low
Thraupidae	Cyanerpes	Cyanerpes caeruleus	0,5485254	1,084346217	17	0,142143345	2,298683909	3,346650484	2,299310248	3,346650484	Low
Thraupidae	Cyanerpes	Cyanerpes cyaneus	0,609906592	1,183527406	17	0,142143345	2,743213903	3,431733727	2,747015995	3,431733727	Low
Thraupidae	Cyanerpes	Cyanerpes nitidus	0,558602222	0,920733532	11,2765072	0,142143345	2,168056666	2,392737841	2,18626374	2,392737841	Low
Thraupidae	Cyanerpes	Cyanerpes lucidus	0,596225681	1,136588994	11,58289908	0,142143345	2,588954648	2,621462453	2,613220005	2,621462453	Low
Thraupidae	Dacnis	Dacnis berlepschi	0,611930181	1,097092953	8,441553083	0,142143345	2,51350285	2,141059083	2,673948846	2,51350285	Low
Thraupidae	Dacnis	Dacnis venusta	0,619117156	1,216562341	9,233444014	0,142143345	2,720131013	2,356108718	2,842041582	2,720131013	Low
Thraupidae	Dacnis	Dacnis cayana	0,61007434	1,091863798	8,185747751	0,142143345	2,499936265	2,100212192	2,656455213	2,499936265	Low
Thraupidae	Dacnis	Dacnis flaviventer	0,605741394	1,101207335	8,583099588	0,142143345	2,537700485	2,164708527	2,637613604	2,537700485	Low
Thraupidae	Dacnis	Dacnis hartlaubi	0,544410911	0,918762297	7,176175949	0,142143345	2,013079243	1,808212005	2,113722677	2,013079243	Medium
Thraupidae	Dacnis	Dacnis egregia	0,590499309	1,144208007	9,97001009	0,142143345	2,534393376	2,398737037	2,586206328	2,534393376	Low
Thraupidae	Dacnis	Dacnis lineata	0,590499309	1,144208007	9,97001009	0,142143345	2,534393376	2,398737037	2,586206328	2,534393376	Low
